ISBN,Year,Month,Author,TitleEN,TitleCN,TitleKR
1851680225,2021,Jan,Alfred Adler,What Life Could Mean to You,自卑与超越,다시 일어서는 용기
0553214411,2021,Feb,W. Somerset Maugham,The Moon and Sixpence,月亮与六便士,달과 6펜스
0060531045,2021,Mar,Gabriel Garcia Marquez,One Hundred Years of Solitude,百年孤独,백년 동안의 고독
B075F68BFV,2021,Apr,Tara Westover,Educated,你当像鸟飞往你的山,배움의 발견
1577311523,2021,May,Eckhart Tolle,The Power of Now,当下的力量,지금 이 순간을 살아라
0156012073,2021,Jun,Antoine de Saint-Exupéry,The Little Prince,小王子,어린왕자
076790592X,2021,Jul,Biography,Mitch Albom,Tuesdays with Morrie,相约星期二,모리와 함께한 화요일
B01D9L2RMK,2021,Aug,张德芬,xxx,遇见未知的自己,xxx
0807067997,2021,Sep,Viktor E. Frankl,Man's Search for Meaning,活出生命的意义,죽음의 수용소에서
B07BRPW98K,2021,Oct,Ichiro Kishimi,The Courage to Be Disliked,被讨厌的勇气,미움받을 용기
0415174295,2021,Nov,Robert de Board,Counselling for Toads: A Psychological Adventure,蛤蟆先生去看心理医生,토드를 위한 심리 상담
1892005026,2021,Nov,Marshall B. Rosenberg,Nonviolent Communication,非暴力沟通,비폭력대화
0871401622,2021,Dec,Philosophy,Bertrand Russell,The Conquest of Happiness,幸福之路,행복의 정복
1473668948,2022,Jan,Self-Help,Hal Elrod,The Miracle Morning,早起的奇迹,미라클모닝
1087945968,2022,Feb,九边,xxx,向上生长,xxx
1626251207,2022,Mar,Depression,Alex Korb,The Upward Spiral,重塑大脑回路,xxx
1683734351,2022,Apr,Lori Gottlieb,Maybe You Should Talk to Someone,也许你该找个人聊聊,xxx
0061339202,2022,May,Mihaly Csikszentmihalyi,Flow,心流,몰입
1881273571,2022,Jun,Gary Chapman,The Five Languages of Apology,道歉的五种语言,다섯 가지 사과의 언어
B00NPAJ32S,2022,Jun,Atul Gawande,Being Mortal,最好的告别,어떻게 죽을 것인가
